Zipcode,MDFreq,DOFreq,major_city,population,population_density,median_home_value,median_household_income
86433,0,0,Oatman,111,1,NA,4811
85654,0,0,Rillito,97,1577,NA,9449
85911,0,0,Cibecue,1800,3,57100,9754
86011,2,1,Flagstaff,6362,9382,NA,10938
85923,0,0,Clay Springs,621,10,73400,11799
86029,0,0,Sun Valley,320,5,29100,14076
86520,0,0,Blue Gap,1793,7,50700,14583
86431,0,0,Chloride,403,7,52100,14976
85626,0,0,Pirtleville,1021,1386,55700,15357
86502,0,0,Chambers,1464,2,84000,16029
86031,0,0,Indian Wells,1856,4,55900,16667
86540,0,0,Nazlini,1088,4,82900,18125
86036,0,0,Marble Canyon,388,0,177000,19444
85034,42,9,Phoenix,5582,489,123000,19509
86514,3,1,Teec Nos Pos,3317,4,66000,20089
86033,2,0,Kayenta,7844,7,49300,20919
86510,2,0,Pinon,5358,7,54700,21132
86506,0,0,Houck,1321,8,87900,21190
85352,0,0,Tacna,461,7,32900,21397
86020,0,0,Cameron,1941,2,69100,21944
86507,0,0,Lukachukai,2340,11,57600,22009
86039,0,0,Kykotsmovi Village,1467,5,71900,22237
86535,1,0,Dennehotso,1199,4,43500,22361
85009,9,3,Phoenix,52520,3371,62800,22725
86508,0,0,Lupton,752,11,59800,22768
85006,450,80,Phoenix,25742,6595,112700,22957
85530,0,0,Bylas,2069,5,62000,23214
85371,0,0,Poston,419,2,32200,23317
86016,0,0,Gray Mountain,62,1,140600,23438
86505,7,0,Ganado,7682,7,55400,23481
85640,0,0,Tumacacori,441,60,116300,23500
86043,0,0,Second Mesa,1798,17,97100,23542
85705,19,6,Tucson,57521,4231,78200,23769
86331,0,0,Jerome,477,11,187200,23793
86547,0,0,Round Rock,1171,9,54800,23889
85633,0,0,Sasabe,54,0,NA,24500
86044,0,0,Tonalea,4251,4,85100,24625
86034,0,0,Keams Canyon,2271,5,59900,24783
85714,63,10,Tucson,15009,2281,87400,24874
86512,1,0,Sanders,2439,4,81700,25000
86444,0,0,Meadview,1289,3,73500,25032
85932,0,0,Nutrioso,364,3,262100,25085
86320,1,0,Ash Fork,1885,2,78800,25417
86054,0,0,Shonto,1935,5,55100,25481
86441,0,0,Dolan Springs,2224,4,54700,25563
85004,126,15,Phoenix,4965,2434,205200,26008
85031,25,5,Phoenix,30493,7520,67200,26187
85621,27,0,Nogales,23054,82,121300,26525
86545,0,0,Rock Point,1650,5,53100,26581
86017,0,0,Munds Park,667,5,260200,26719
86023,1,0,Grand Canyon,2627,10,36300,26771
85638,0,0,Tombstone,1973,6,115900,26897
85719,455,31,Tucson,43989,5374,197100,27009
85147,12,8,Sacaton,4543,64,53700,27163
85301,6,1,Glendale,60161,6489,74100,27267
85606,1,0,Cochise,1184,9,131800,27406
85941,17,3,Whiteriver,9941,12,61400,27679
85550,1,0,San Carlos,4790,8,55200,27774
85017,4,2,Phoenix,38872,7415,72000,27782
85634,10,1,Sells,6490,2,72400,27854
86035,0,0,Leupp,1802,2,64400,27888
86556,0,0,Tsaile,2090,9,56900,27969
85321,0,1,Ajo,4435,3,90100,28053
85007,25,9,Phoenix,14040,3110,194200,28125
85607,21,2,Douglas,18925,23,87000,28125
86053,0,0,Kaibeto,2311,3,57600,28239
86544,0,0,Red Valley,1267,5,75800,28250
85928,0,0,Heber,1102,4,171400,28576
85131,3,1,Eloy,18017,67,70900,28893
85325,0,0,Bouse,1212,1,89500,28925
86438,0,0,Yucca,913,1,68600,29016
85141,0,0,Picacho,515,12,62500,29063
85334,0,0,Ehrenberg,1482,23,100000,29063
85336,8,0,Gadsden,700,182,110200,29083
86042,7,0,Polacca,1778,25,67600,29500
85926,1,0,Fort Apache,265,39,44700,29653
85333,0,0,Dateland,790,1,71700,29688
85534,0,0,Duncan,2588,6,89500,29699
85706,3,0,Tucson,55209,4407,83100,29814
86333,1,0,Mayer,5734,12,82200,29851
86511,0,0,Saint Michaels,3694,10,77300,29909
86021,1,1,Colorado City,6085,229,191900,29944
86503,9,0,Chinle,10714,13,42400,30019
85357,0,0,Wenden,761,1,52500,30089
85362,0,0,Yarnell,663,9,154700,30161
85337,0,0,Gila Bend,2793,5,63200,30242
85281,49,13,Tempe,57348,4296,163700,30582
85542,8,2,Peridot,3196,15,45700,30673
85350,5,0,Somerton,21214,215,122200,30720
85015,65,22,Phoenix,37644,7709,113400,30753
86437,0,0,Valentine,76,1,100000,30833
85040,77,14,Phoenix,29352,2885,88700,30841
86052,0,0,North Rim,28,0,NA,30938
85320,0,0,Aguila,1197,2,172100,31250
85712,371,50,Tucson,32666,4807,145600,31290
85256,2,1,Scottsdale,4974,151,83600,31411
85349,3,0,San Luis,25517,1421,114600,31601
85920,0,0,Alpine,464,4,213200,31607
85035,8,1,Phoenix,47486,8311,71200,31645
85192,0,0,Winkelman,2120,6,77500,31645
85019,8,3,Phoenix,25042,6678,78900,32043
85008,226,26,Phoenix,56145,5364,109100,32109
85933,0,1,Overgaard,3033,33,150300,32407
86445,0,0,Willow Beach,311,1,119000,32417
85536,0,0,Fort Thomas,408,3,57300,32500
85711,156,8,Tucson,41251,4824,145600,32557
85601,0,0,Arivaca,698,6,117500,32607
86409,96,65,Kingman,26471,79,88500,32952
85172,0,0,Stanfield,1368,21,289700,32963
85716,32,5,Tucson,32853,4658,176900,33058
86436,0,0,Topock,2104,19,110700,33071
85713,93,12,Tucson,50151,2117,91900,33459
85603,14,2,Bisbee,7155,32,126100,33658
86047,27,6,Winslow,14970,9,86200,33797
85033,24,1,Phoenix,53037,8700,70700,33821
85363,0,1,Youngtown,6156,3867,101300,33884
86538,0,0,Many Farms,2338,12,47700,34000
85701,7,2,Tucson,4983,3437,219500,34017
85120,10,3,Apache Junction,28168,1577,66300,34077
86504,13,2,Fort Defiance,6589,20,56900,34349
85201,93,11,Mesa,46092,4944,119900,34589
85351,103,26,Sun City,27789,2566,113000,34613
86413,1,0,Golden Valley,12103,17,86800,34680
85625,2,0,Pearce,1983,8,119100,34707
85936,2,0,Saint Johns,4293,4,109400,34707
85344,15,5,Parker,9147,21,100100,35495
85322,0,0,Arlington,752,2,90000,35500
86030,0,0,Hotevilla,1374,6,89200,35625
85924,0,0,Concho,2683,3,141900,35653
86515,0,0,Window Rock,4479,41,78300,35897
85347,0,0,Roll,716,3,59700,35977
85617,0,0,Mc Neal,1277,6,108700,36111
86434,2,0,Peach Springs,1490,2,111600,36136
85003,15,2,Phoenix,9369,5061,260500,36390
85348,0,0,Salome,2786,6,72900,36434
85324,1,1,Black Canyon City,2886,10,129400,36442
85553,0,0,Tonto Basin,1501,5,130600,36442
86332,0,0,Kirkland,1637,3,95200,36467
86432,0,2,Littlefield,3933,1,120300,36568
85210,56,13,Mesa,36464,5539,117600,36586
86442,83,15,Bullhead City,33382,877,97400,36661
85927,1,0,Greer,176,1,255900,36705
85332,0,0,Congress,2146,5,116600,36810
86435,0,0,Supai,487,0,9999,36875
85632,0,0,San Simon,835,1,148800,37250
85930,1,0,Mcnary,1086,6,62100,37500
86337,0,0,Seligman,1267,1,158000,37621
86411,0,0,Hackberry,224,1,163200,37813
85620,0,0,Naco,897,840,79800,37917
86343,0,0,Crown King,177,2,200000,38125
85021,52,12,Phoenix,37743,5612,188200,38130
85173,0,0,Superior,2872,77,80300,38203
86338,0,0,Skull Valley,743,3,194600,38264
85051,15,8,Phoenix,40375,6392,108000,38415
85121,0,0,Bapchule,2178,30,62400,38670
85501,28,7,Globe,13345,24,95900,38776
85901,39,22,Show Low,17207,66,150500,38865
85624,0,0,Patagonia,1426,4,247000,38950
85360,0,0,Wikieup,222,0,115400,39063
85545,0,0,Roosevelt,583,1,147500,39063
85364,246,27,Yuma,74904,1899,118900,39102
86429,1,0,Bullhead City,7162,86,188100,39357
85346,1,0,Quartzsite,4423,7,55400,39364
85618,0,0,Mammoth,1725,15,75000,39696
